"Index","obs","Ncasos","Ncasos.low","Ncasos.up","NI","NI.low","NI.up","data"
2005-01-30,1,2.85043464662448,1.32608554671993,5.15833585997487,270.2625,106,554,2005-01-30
2005-02-06,2,3.54672171135156,1.72169787255243,6.18510398259054,335.96025,137,671.024981854611,2005-02-06
2005-02-13,11,6.00503036787712,3.19152196435279,9.95042801947185,570.11125,249,1128.0499568323,2005-02-13
2005-02-20,3,3.74442527322157,1.79209620112805,6.65770395256191,355.36375,147.974917283876,739,2005-02-20
2005-02-27,3,2.69183426498259,1.2253508679951,4.95929237966099,255.85525,97,539.024977416262,2005-02-27
2005-03-06,1,1.83223576838292,0.745677602869568,3.53259558681886,174.11425,59,389.024968722587,2005-03-06
2005-03-13,3,1.46499812872714,0.538896996932843,3.01745895667708,139.1785,43,317,2005-03-13
2005-03-20,0,0.843244720659866,0.248767405437312,1.89440351033269,80.201,20,199,2005-03-20
2005-03-27,0,0.574303975227,0.14932893042587,1.37405553686104,54.5525,12,143,2005-03-27
2005-04-03,0,0.431620196201267,0.0975194249120002,1.07946788783985,40.943,8,112.024891818442,2005-04-03
2005-04-10,0,0.361181781238863,0.0733339326610193,0.971357061410502,34.2515,6,98,2005-04-10
2005-04-17,0,0.329331801839717,0.0631767831840079,0.889790216409341,31.29175,5,91,2005-04-17
2005-04-24,0,0.316713876413963,0.0619778891329652,0.852513238250533,30.11475,5,86.0248593604225,2005-04-24
2005-05-01,0,0.329782476609002,0.065166426809392,0.891442052876737,31.32075,5,91,2005-05-01
2005-05-08,1,0.375067119576285,0.0797056183967517,0.998632277013913,35.705,6.97307554464137,103,2005-05-08
2005-05-15,0,0.36016090620661,0.0780583178817202,0.958215989079463,34.20025,7,99,2005-05-15
2005-05-22,0,0.37049051899692,0.0839629728630286,0.972589188951737,35.1765,7,98,2005-05-22
2005-05-29,0,0.422260248288175,0.0999886554208421,1.09050841904655,40.035,8,108.024887835956,2005-05-29
2005-06-05,1,0.520053582076533,0.128844494642404,1.32183979253197,49.37725,11,136,2005-06-05
2005-06-12,0,0.574035346753292,0.160251288438297,1.39258061489613,54.37675,13,147,2005-06-12
2005-06-19,3,0.721286308330359,0.204745129059021,1.69997992101123,68.2725,17,172,2005-06-19
2005-06-26,0,0.557065387593844,0.148135669690549,1.37019152715619,52.69525,12,143.024915163061,2005-06-26
2005-07-03,0,0.483189610759888,0.123325460457458,1.19098745042741,45.6615,10,121,2005-07-03
2005-07-10,0,0.469050781210136,0.121851642422391,1.16768844696547,44.26975,10,115.02489462453,2005-07-10
2005-07-17,0,0.497156743655224,0.128972289064252,1.2403490624987,47.1305,11,126,2005-07-17
2005-07-24,1,0.589928667865547,0.164805339382234,1.43878945416848,55.807,13,147,2005-07-24
2005-07-31,0,0.642051407725698,0.183389611473928,1.51101834240799,60.86325,15,154.024921197078,2005-07-31
2005-08-07,3,0.783574012412397,0.233180321741783,1.81366509392059,74.1395,20,186,2005-08-07
2005-08-14,0,0.590371720836324,0.165264779617892,1.42873085034746,55.902,14,148,2005-08-14
2005-08-21,0,0.504572907580483,0.126225976639617,1.24205843713561,47.8275,11,127.024904529992,2005-08-21
2005-08-28,0,0.476571015343167,0.121540476597933,1.12873965051123,45.25925,10,120.024898991253,2005-08-28
2005-09-04,0,0.501988032433383,0.134293361051063,1.2503197033973,47.74225,11,133.024908815724,2005-09-04
2005-09-11,0,0.595269023734666,0.172929848306139,1.40651713955571,56.4015,14,146,2005-09-11
2005-09-18,0,0.792325221859623,0.256070195252254,1.84828983396541,74.89225,21,187.024935054739,2005-09-18
2005-09-25,4,1.22471654826093,0.422613951298171,2.69341206287659,115.50875,34,276.024955947436,2005-09-25
2005-10-02,2,1.06554555498632,0.335662459309218,2.30253306867488,100.43075,29,238,2005-10-02
2005-10-09,0,0.767455912395245,0.236737016510704,1.78238970005635,72.66675,20,181.024932909652,2005-10-09
2005-10-16,0,0.639124940491889,0.179999842401905,1.50318398830226,60.4885,14,154,2005-10-16
2005-10-23,1,0.614533282862339,0.169224185642708,1.50575978973971,58.1315,14,151,2005-10-23
2005-10-30,1,0.545898127793965,0.135019649346451,1.3402366246278,51.60275,11,136.024910817464,2005-10-30
2005-11-06,0,0.433324928330223,0.104174301365334,1.10112413740982,41.182,8,112,2005-11-06
2005-11-13,0,0.382046011267054,0.0830801885262834,0.978820761559501,36.37625,7,105,2005-11-13
2005-11-20,0,0.363702453085839,0.0765701267137067,0.952972947419734,34.527,6,99,2005-11-20
2005-11-27,0,0.370921810990575,0.0857120661174279,0.970679670103499,35.23925,7,100,2005-11-27
