"Index","obs","Ncasos","Ncasos.low","Ncasos.up","data"
1999-12-01,3,1.14827215908173,0.570253343080448,1.97273659946984,1999-12-01
2000-01-01,2,1.99200111584953,0.875523054884979,3.7360126224719,2000-01-01
2000-02-01,2,3.20775230883815,1.53485976430158,5.6769734832692,2000-02-01
2000-03-01,7,6.72916297179767,3.89530596309144,10.6847755531888,2000-03-01
2000-04-01,20,13.2023532872396,8.56920877023583,19.2265767579643,2000-04-01
2000-05-01,2,4.00144960700065,1.85009125899052,6.9835303267854,2000-05-01
2000-06-01,0,2.08225677945562,0.762679403090912,4.21189435113525,2000-06-01
2000-07-01,2,2.06987803937863,0.831367434183432,3.98459131451416,2000-07-01
2000-08-01,0,2.12249098964095,0.882637552198978,4.0227412743609,2000-08-01
2000-09-01,6,3.74275478516831,1.88558327078507,6.47636214924267,2000-09-01
2000-10-01,4,3.45173957486639,1.70049201076597,5.99098533205461,2000-10-01
2000-11-01,2,2.67269301524731,1.16624191168824,4.97538202918359,2000-11-01
2000-12-01,2,2.5184154880482,1.13351160335843,4.62159993955111,2000-12-01
2001-01-01,3,2.80227796595259,1.22716258044217,5.12977691250506,2001-01-01
2001-02-01,3,2.87792922826826,1.28021251341431,5.16246508908592,2001-02-01
2001-03-01,5,2.90594443701583,1.4103185039452,5.23335710069663,2001-03-01
2001-04-01,0,1.31545161529239,0.366999729275562,2.92866159424334,2001-04-01
2001-05-01,0,0.950778254775696,0.195971357958802,2.29368186324693,2001-05-01
2001-06-01,1,0.965469046663381,0.244465317862652,2.25105511854428,2001-06-01
2001-07-01,1,0.99851993171947,0.268694647066377,2.27888408718566,2001-07-01
2001-08-01,0,1.02890829488193,0.28597561451785,2.29393806976209,2001-08-01
2001-09-01,2,1.46329491974482,0.549070067381337,3.0411144129777,2001-09-01
2001-10-01,1,1.73199155939145,0.632556095762952,3.4570152998868,2001-10-01
2001-11-01,1,2.47347709118692,1.06399678555817,4.64930134395386,2001-11-01
2001-12-01,7,5.01265990128046,2.68533768004873,8.44049765860496,2001-12-01
2002-01-01,8,6.03566249148641,3.33522413036326,9.7017851316081,2002-01-01
2002-02-01,4,4.17270957044853,2.07751701668744,7.12453000346376,2002-02-01
2002-03-01,3,3.08487868601135,1.38312782961191,5.56664959369492,2002-03-01
2002-04-01,3,2.32550896803892,0.964871300403789,4.36291572198964,2002-04-01
2002-05-01,1,1.26500316847353,0.351999689922185,2.79055798904445,2002-05-01
2002-06-01,0,0.725015775932507,0.156563018922615,1.81298973746691,2002-06-01
2002-07-01,0,0.556885255591608,0.139658759317192,1.44629058734269,2002-07-01
2002-08-01,0,0.543747069364788,0.13473799851614,1.40307994632711,2002-08-01
2002-09-01,0,0.653790350936187,0.152415928619607,1.64697746940931,2002-09-01
2002-10-01,0,0.944387416104103,0.286260181102141,2.10178466952636,2002-10-01
2002-11-01,1,1.7748878842041,0.715101621458423,3.52437170219137,2002-11-01
2002-12-01,5,3.81684691461373,1.9527955923766,6.45943054009007,2002-12-01
2003-01-01,10,5.97805203233935,3.37238436038287,9.64483377683074,2003-01-01
2003-02-01,1,2.79420674628176,1.18185218823058,5.214015352977,2003-02-01
2003-03-01,3,2.258984344305,0.939959678382118,4.33716929168182,2003-03-01
2003-04-01,0,1.34778631567057,0.406456849651042,2.82753739913321,2003-04-01
2003-05-01,0,1.30055422849009,0.415574206449391,2.71530967195693,2003-05-01
2003-06-01,4,1.80455466646483,0.795719861009081,3.50976890725696,2003-06-01
2003-07-01,0,1.03463758373297,0.237122136443157,2.37554240925521,2003-07-01
2003-08-01,1,0.873063525056004,0.192949493869416,2.12062159509882,2003-08-01
2003-09-01,0,0.671173525553285,0.147327674061145,1.73365249478396,2003-09-01
2003-10-01,0,0.675825352628086,0.150699986963541,1.72347359301498,2003-10-01
2003-11-01,0,0.846890639100766,0.214507660639606,1.95224191382254,2003-11-01
2003-12-01,1,1.3711054173753,0.495354459269033,2.84883908617739,2003-12-01
2004-01-01,3,2.4396611253092,1.09530972469888,4.53834424300165,2004-01-01
2004-02-01,4,3.70706884168285,1.87721927620553,6.41892539920529,2004-02-01
2004-03-01,1,5.10895711072869,2.73834124257308,8.36707922097047,2004-03-01
2004-04-01,28,17.5347968547832,11.8582854478308,24.4811908418496,2004-04-01
2004-05-01,0,3.13099589553197,1.21561294623128,5.9679100893987,2004-05-01
2004-06-01,0,1.39041338467338,0.361997339560666,3.02363134716595,2004-06-01
2004-07-01,0,1.01838299514676,0.231487293212129,2.41891014349679,2004-07-01
2004-08-01,0,1.0909634362009,0.310055661448215,2.46321199206604,2004-08-01
2004-09-01,0,1.60014875106671,0.603559645859327,3.21762979898235,2004-09-01
2004-10-01,4,3.43940613999032,1.67945662009307,6.09821738675893,2004-10-01
2004-11-01,6,6.38179261930698,3.65444606075196,10.1198881056464,2004-11-01
2004-12-01,15,12.7376023819203,8.2031917529044,18.4045588513712,2004-12-01
2005-01-01,19,14.6260826799977,9.71070801694314,20.8230132615278,2005-01-01
2005-02-01,4,5.08467346642644,2.58995228653804,8.51482095236308,2005-02-01
2005-03-01,0,2.2948704177668,0.853305466118918,4.4973298518978,2005-03-01
2005-04-01,1,2.12015284457643,0.841397582623059,4.0990331812222,2005-04-01
2005-05-01,4,2.67650191640196,1.24198393821853,4.87190220933501,2005-05-01
2005-06-01,1,2.29109921491949,0.931415326372736,4.29172987782525,2005-06-01
2005-07-01,3,2.78165996025337,1.24221605852709,4.99361401641281,2005-07-01
2005-08-01,4,3.21049340211571,1.51062988145155,5.66425685554719,2005-08-01
