"data","Vivax.cases","HumMinSemanaEpi","HumAveSemanaEpi","HumMaxSemanaEpi","RainSemanaEpiCompleta","TmaxSemanaEpi","TminSemanaEpi"
2000-01-02,0,50.0478697941599,65.9770224988033,81.9061752034466,2.7624418003104,36,20
2000-01-09,2,34,50.5,67,6.71428571428571,36.7,21.2428571428571
